Timestamp,Strengths,Firsts,Lasts,Minimums,Maximums
1541311852392,651444,661246,648083,595887,752111
1541312004450,658578,661246,650868,595887,752111
1541312167370,658935,662470,651700,595887,752320
1541312201440,654652,658250,651700,595887,751564
1541312251860,654652,658250,651700,599894,751564
1541312322710,654825,661047,653878,602093,752244
1541312376585,654652,658250,651700,602093,751564
1541312412341,654652,658250,651700,602916,751564
1541312430850,654295,657026,650868,602916,751564
1541312450715,654295,657026,650868,602916,751564
1541312643217,654295,657026,650868,602916,751564
1541312734373,654295,657026,650258,600717,752244
1541312766977,654295,657026,649516,596710,751564
1541312804030,653838,656816,649001,596710,751029
1541312875248,653838,659594,649001,596710,751579
1541312888300,649955,657179,642562,596393,748919
1541312891635,649955,651011,642562,596393,748369
1541312904720,648999,651011,642562,596393,748369
1541312949610,660281,657179,643987,596393,748919
1541312974990,660738,657389,644502,596467,749454
1541313002830,655047,657389,644079,596467,749103
1541313113679,655047,657389,642654,594556,746444
1541313139252,655047,657389,642654,594556,746444
1541313267960,655047,657389,642654,594556,746444
1541313363856,653047,655699,641404,590560,745734
1541313392555,653047,655699,641404,590560,745734
1541313734580,653047,659919,641404,591046,745199
1541313835085,653047,659919,641404,591046,745199
1541313877090,646845,657878,639933,591046,744680
1541313964297,646845,657878,639933,591046,744680
1541313968320,646845,657878,639933,592957,744680
1541314072219,646845,657878,639933,592957,744680
1541314082140,646845,657878,639933,593343,744680
1541314092430,647134,657878,642189,593343,744680
1541314272750,646845,657878,642189,598802,744130
1541314319019,646845,657878,642189,598802,744130
1541314446720,646845,651710,642189,593343,744108
1541314553718,646845,651710,642189,593343,744643
1541314598370,646845,651710,642189,598802,744643
1541314843940,646845,651710,642189,598802,744643
1541314892030,646845,651710,642189,593343,744643
1541315004700,646845,651710,642189,593343,744643
1541315065160,647134,657878,645143,598802,744665
1541315370361,647134,657878,645143,596891,744665
1541315573811,647134,657878,645143,596891,744665
1541315639270,645916,650566,645123,592137,744574
1541315743220,645916,650566,645123,592137,744574
1541315754256,646552,650566,646063,593806,745124
1541315764260,646426,649717,642761,593806,743114
1541316136489,644535,649222,638633,591207,742502
1541316344770,644535,649222,638633,593480,742502
1541316448790,646426,649222,642761,593480,743114
1541316580960,646426,649222,642761,593480,743114
1541317207523,644535,648378,638633,593480,742502
1541317255810,644535,648378,638633,593480,743258
1541317261040,644535,648378,639060,593480,745798
1541317423174,639261,647331,638906,591520,744590
1541317451930,639261,647331,638906,589247,744590
1541317492415,639261,647331,638906,591520,744590
1541317522200,639261,647331,638906,589247,744590
1541317658628,643544,647961,639293,589431,744590
1541318024933,643544,647961,639293,588791,744590
1541319050198,643544,647961,639293,589007,744590
1541320094570,644494,648591,641192,591575,745997
1541320153000,644494,648591,641192,591575,745997
1541320227700,644624,650961,641946,592046,745997
1541320940230,649898,652008,642100,592046,745997
1541321401925,648818,649638,641346,591575,744590
1541321420225,648182,643470,640406,591575,744040
1541321505582,648182,649638,640406,591575,744590
1541321522310,648182,649638,640252,591515,744590
1541321584550,647139,649638,638644,591367,744590
1541321606580,642856,649008,636745,588799,742050
1541321830540,647139,649008,638644,588799,742050
1541321925590,647139,649008,638644,591072,742050
1541322528092,647139,649008,638644,591220,737450
1541322834990,647139,649008,638644,588947,737450
1541323174985,647139,649008,638644,588947,737450
1541323357390,648219,649638,639398,591515,741397
1541323499250,648219,648591,639398,591367,740888
1541323842350,648219,647961,639398,591019,741189
1541324564101,647139,647961,639398,588799,741189
1541325582079,648182,649008,641006,588799,741189
1541325683830,650182,650698,642256,595068,741899
1541325945300,650182,650698,642256,595068,741899
1541326436888,650182,650698,642256,595068,741899
1541326484720,649139,649651,640648,595068,741598
1541326504890,649139,650073,640648,592795,741714
1541326709920,649775,658960,640648,595068,742628
1541327001495,649775,658960,640648,595068,755530
1541327140710,650818,658960,642256,595068,755831
1541327300924,650818,658960,642256,595068,755831
1541327519291,650182,649651,639302,592795,754917
1541327530430,650182,649651,639302,591126,754917
1541327622560,650182,649651,639302,591126,754616
1541327781244,650182,649651,639302,591126,754616
1541330051020,650182,649651,639302,591126,754786
1541330690640,648182,647961,638052,587130,754076
1541330758845,650073,649008,638052,587130,754076
1541330946820,645790,644158,637298,586914,754076
1541330952389,642856,639058,635690,586914,750926
1541330952737,642399,638848,633791,586730,750756
1541331179670,642399,638848,635690,586914,741109
1541331179960,632149,637927,631800,581904,733424
1541331209655,640556,637927,635690,586914,733424
1541331266030,640556,637927,635690,586914,732157
1541331380573,640556,637927,635690,586914,732157
1541331644730,640522,637844,633791,586730,732157
1541331680330,640522,637844,633791,586730,732157
